DEATH ar25 L1 baseline=32 budget=160 shortest_observed_loss=82 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tn36 L2 baseline=72 budget=360 shortest_observed_loss=61 replays=True fits_budget=True deaths_affordable=5 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tn36 L3 baseline=26 budget=130 shortest_observed_loss=61 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tn36 L4 baseline=40 budget=200 shortest_observed_loss=61 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tn36 L5 baseline=30 budget=150 shortest_observed_loss=61 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tn36 L6 baseline=55 budget=275 shortest_observed_loss=122 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tn36 L7 baseline=62 budget=310 shortest_observed_loss=122 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tr87 L1 baseline=54 budget=270 shortest_observed_loss=128 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tr87 L2 baseline=58 budget=290 shortest_observed_loss=128 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tr87 L3 baseline=40 budget=200 shortest_observed_loss=128 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tr87 L4 baseline=45 budget=225 shortest_observed_loss=128 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tr87 L5 baseline=71 budget=355 shortest_observed_loss=128 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tr87 L6 baseline=146 budget=730 shortest_observed_loss=256 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L1 baseline=19 budget=95 shortest_observed_loss=50 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L2 baseline=16 budget=80 shortest_observed_loss=14 replays=True fits_budget=True deaths_affordable=5 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L3 baseline=34 budget=170 shortest_observed_loss=10 replays=True fits_budget=True deaths_affordable=17 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L4 baseline=42 budget=210 shortest_observed_loss=5 replays=True fits_budget=True deaths_affordable=42 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L5 baseline=123 budget=615 shortest_observed_loss=17 replays=True fits_budget=True deaths_affordable=36 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L6 baseline=80 budget=400 shortest_observed_loss=3 replays=True fits_budget=True deaths_affordable=133 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L7 baseline=14 budget=70 shortest_observed_loss=4 replays=True fits_budget=True deaths_affordable=17 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L8 baseline=23 budget=115 shortest_observed_loss=3 replays=True fits_budget=True deaths_affordable=38 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH tu93 L9 baseline=111 budget=555 shortest_observed_loss=2 replays=True fits_budget=True deaths_affordable=277 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH vc33 L1 baseline=7 budget=35 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH vc33 L2 baseline=18 budget=90 shortest_observed_loss=50 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH vc33 L3 baseline=44 budget=220 shortest_observed_loss=75 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH vc33 L4 baseline=61 budget=305 shortest_observed_loss=50 replays=True fits_budget=True deaths_affordable=6 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH vc33 L5 baseline=131 budget=655 shortest_observed_loss=200 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH vc33 L6 baseline=34 budget=170 shortest_observed_loss=50 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH vc33 L7 baseline=152 budget=760 shortest_observed_loss=200 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L1 baseline=71 budget=355 shortest_observed_loss=200 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L2 baseline=119 budget=595 shortest_observed_loss=70 replays=True fits_budget=True deaths_affordable=8 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L3 baseline=183 budget=915 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=9 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L4 baseline=98 budget=490 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=4 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L5 baseline=368 budget=1840 shortest_observed_loss=125 replays=True fits_budget=True deaths_affordable=14 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L6 baseline=68 budget=340 shortest_observed_loss=75 replays=True fits_budget=True deaths_affordable=4 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L7 baseline=79 budget=395 shortest_observed_loss=125 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L8 baseline=442 budget=2210 shortest_observed_loss=150 replays=True fits_budget=True deaths_affordable=14 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH wa30 L9 baseline=415 budget=2075 shortest_observed_loss=70 replays=True fits_budget=True deaths_affordable=29 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
SUMMARY environments=25 levels=183 exposed=148 not_established=35 all_witnesses_replay=True peak_rss_mb_under_600=True
